product_id,name,category,subcategory,price,cost,stock_quantity,supplier,created_date
1,Versatile 4thgeneration groupware,Sports,Team Sports,380.06,284.31,287,Christensen-Vincent,2022-11-11
2,Distributed needs-based product,Clothing,Kids,16.49,9.79,733,Smith-Mcdaniel,2022-08-31
3,Triple-buffered bottom-line strategy,Home & Garden,Furniture,212.72,152.25,256,Lee LLC,2022-09-30
4,Front-line client-driven Graphic Interface,Books,Non-fiction,21.42,14.42,54,Wilson Group,2022-09-25
5,Balanced value-added capacity,Electronics,Wearables,977.42,769.31,804,Mayo PLC,2024-07-06
6,Multi-layered tangible analyzer,Electronics,Laptops,755.32,456.63,513,Frank Group,2022-09-22
7,Focused optimal encoding,Home & Garden,Kitchen,739.07,478.9,84,Miller-Graham,2023-01-19
8,De-engineered next generation algorithm,Electronics,Gaming,2486.83,1583.74,695,"Koch, Mack and Mcbride",2024-10-02
9,Upgradable hybrid middleware,Electronics,Wearables,1668.0,1244.62,435,Jones-Parsons,2024-01-29
10,Enterprise-wide demand-driven open architecture,Clothing,Men,62.5,32.7,608,Vang-Stephens,2022-03-07
11,Synchronized mobile definition,Electronics,Audio,2341.24,1352.66,913,Arnold-Douglas,2024-06-03
12,Operative holistic hub,Sports,Team Sports,621.57,480.62,867,Johnson-Smith,2023-03-04
13,Reduced 5thgeneration database,Home & Garden,Furniture,708.42,478.43,417,"Nelson, Martinez and Johnson",2023-07-28
14,Optional discrete focus group,Clothing,Kids,146.44,86.32,543,Ortiz and Sons,2023-08-09
15,User-friendly mobile approach,Clothing,Accessories,205.09,113.06,993,"Thompson, Hill and Carrillo",2022-10-21
16,Proactive discrete forecast,Clothing,Men,240.98,154.55,131,Brown-Smith,2024-01-05
17,Right-sized executive migration,Electronics,Audio,2118.29,1562.85,829,"Nicholson, Estrada and Calderon",2022-12-15
18,Digitized modular superstructure,Sports,Team Sports,135.8,101.63,976,"Smith, Knight and Cuevas",2024-05-14
19,Multi-channeled even-keeled hub,Home & Garden,Furniture,102.5,69.73,154,Clark-Mcbride,2022-09-18
20,Virtual 24/7 hub,Books,Non-fiction,81.69,44.29,258,Robinson Group,2022-07-25
21,Streamlined background migration,Sports,Cycling,281.05,160.53,315,"Smith, Ramsey and Anderson",2024-03-22
22,De-engineered zero tolerance middleware,Electronics,Audio,1733.34,1225.35,305,Barrett Ltd,2023-09-23
23,Fully-configurable responsive solution,Electronics,Gaming,174.56,137.27,354,Houston Group,2023-02-11
24,Managed bottom-line task-force,Home & Garden,Outdoor,136.05,73.93,420,Evans-Thompson,2023-06-24
25,Multi-layered systemic knowledge user,Sports,Fitness,172.49,94.25,635,Thornton-George,2022-03-01
26,Distributed mission-critical interface,Clothing,Accessories,147.52,117.19,423,Hall LLC,2022-06-05
27,Exclusive object-oriented definition,Electronics,Wearables,1939.76,1457.8,840,"Oneill, Wilson and Wyatt",2024-08-22
28,Open-architected multi-state projection,Clothing,Women,189.83,128.56,123,"Blair, Mathis and Fox",2024-05-06
29,Compatible dedicated superstructure,Home & Garden,Decor,207.32,127.6,93,"Mills, Johnson and Martin",2022-05-06
30,Up-sized interactive Local Area Network,Home & Garden,Decor,361.66,200.87,912,Smith Group,2023-09-01
31,Compatible even-keeled parallelism,Sports,Team Sports,20.06,11.92,465,"Mack, Martin and Rollins",2023-07-08
32,Robust methodical leverage,Sports,Cycling,30.45,17.3,476,Harrington-Thompson,2024-06-01
33,Profound incremental budgetary management,Electronics,Laptops,1649.52,851.93,222,Banks-Wells,2024-07-22
34,Profound reciprocal secured line,Electronics,Smartphones,949.53,668.26,58,Brown Ltd,2023-07-09
35,Operative grid-enabled website,Electronics,Gaming,847.52,565.92,688,Keith-Phillips,2023-03-29
36,Organic holistic ability,Electronics,Gaming,2212.93,1484.67,228,"Velazquez, Nelson and Jackson",2023-01-05
37,Advanced grid-enabled throughput,Home & Garden,Kitchen,65.63,38.28,830,Jordan-Lee,2024-09-16
38,Devolved solution-oriented archive,Home & Garden,Decor,939.07,544.77,333,Bryant PLC,2022-01-20
39,Ameliorated high-level Graphic Interface,Sports,Team Sports,695.16,385.51,737,Cooke-Rice,2022-02-01
40,Exclusive stable info-mediaries,Clothing,Women,17.28,10.3,606,Williams-Stewart,2023-05-16
41,Face-to-face context-sensitive portal,Home & Garden,Outdoor,644.82,513.08,170,Keith-Jordan,2023-09-01
42,Extended contextually-based service-desk,Sports,Outdoor,149.18,96.24,646,Cannon-Williams,2023-04-20
43,Up-sized clear-thinking website,Home & Garden,Outdoor,654.26,406.11,392,Swanson-Costa,2022-12-24
44,Multi-tiered upward-trending functionalities,Sports,Cycling,768.97,607.62,858,Christian LLC,2023-12-08
45,Triple-buffered 5thgeneration strategy,Home & Garden,Furniture,317.97,176.86,875,Diaz and Sons,2024-07-29
46,Advanced systematic paradigm,Clothing,Women,140.21,82.08,103,Marquez LLC,2024-08-28
47,Sharable cohesive access,Clothing,Kids,239.32,180.28,747,Moore-Walton,2022-12-28
48,Innovative zero-defect challenge,Electronics,Wearables,1927.79,1237.06,422,Martin PLC,2022-08-28
49,Secured discrete secured line,Electronics,Smartphones,755.08,493.67,963,Klein Ltd,2022-06-24
50,Up-sized radical synergy,Books,Non-fiction,101.2,60.04,780,Thompson-Farmer,2024-02-14
51,Intuitive 5thgeneration intranet,Electronics,Smartphones,1361.4,876.99,864,Rodgers-Bridges,2022-04-18
52,Innovative eco-centric capacity,Electronics,Wearables,724.18,508.41,130,Gibson-Meadows,2023-11-29
53,Front-line leadingedge structure,Electronics,Laptops,1777.71,1351.48,37,Wells LLC,2023-01-26
54,Multi-lateral coherent orchestration,Clothing,Kids,61.98,31.19,957,"Thompson, Dean and Zuniga",2024-04-02
55,Virtual background moderator,Clothing,Accessories,145.92,112.08,154,Powell-Jones,2024-05-25
56,Streamlined analyzing focus group,Home & Garden,Furniture,910.01,634.67,399,Acosta-Cooley,2022-08-10
57,Proactive clear-thinking help-desk,Books,Academic,79.58,43.42,938,"Benton, Lyons and Gray",2022-01-12
58,Managed actuating moderator,Electronics,Audio,1554.19,1192.23,148,Stone Ltd,2022-01-28
59,Business-focused cohesive function,Electronics,Smartphones,1457.35,838.73,948,"Velasquez, Perkins and Goodman",2022-07-21
