review_id,product_id,customer_id,rating,review_text,review_date
1,123,664,4,Battery life and build quality are top-notch.,2024-11-21
2,48,713,2,Item quality did not match the description.,2024-11-05
3,158,924,5,Battery life and build quality are top-notch.,2025-01-05
4,112,364,4,Performance exceeded expectations with seamless setup.,2025-01-11
5,42,866,1,Had issues shortly after purchase; disappointed.,2025-01-05
6,110,821,3,Meets expectations but could use refinements.,2024-06-15
7,117,866,5,Battery life and build quality are top-notch.,2024-12-26
8,9,131,5,Battery life and build quality are top-notch.,2024-03-21
9,65,131,5,Performance exceeded expectations with seamless setup.,2024-01-24
10,114,170,5,Performance exceeded expectations with seamless setup.,2024-12-04
11,158,180,5,Performance exceeded expectations with seamless setup.,2024-02-05
12,110,65,5,Performance exceeded expectations with seamless setup.,2024-12-31
13,112,955,5,Performance exceeded expectations with seamless setup.,2024-02-04
14,171,268,4,Great durability during intense workouts.,2024-08-09
15,8,510,5,Battery life and build quality are top-notch.,2024-09-21
16,51,544,4,Battery life and build quality are top-notch.,2025-02-06
17,126,170,2,Item quality did not match the description.,2024-12-17
18,130,948,2,Had issues shortly after purchase; disappointed.,2024-11-28
19,38,463,5,Adds instant charm to the space.,2024-08-30
20,110,688,5,Battery life and build quality are top-notch.,2024-11-29
21,118,422,5,Adds instant charm to the space.,2024-08-20
22,158,755,5,Battery life and build quality are top-notch.,2024-07-10
23,11,821,5,Battery life and build quality are top-notch.,2024-12-24
24,143,643,4,Performance exceeded expectations with seamless setup.,2024-01-08
25,58,409,4,Battery life and build quality are top-notch.,2024-04-19
26,90,298,5,Performance exceeded expectations with seamless setup.,2024-07-26
27,123,553,5,Performance exceeded expectations with seamless setup.,2024-12-30
28,116,247,4,Adds instant charm to the space.,2025-01-31
29,62,201,5,Battery life and build quality are top-notch.,2024-08-15
30,71,874,5,Performance exceeded expectations with seamless setup.,2024-11-17
31,138,470,5,Performance exceeded expectations with seamless setup.,2024-08-18
32,36,824,1,Had issues shortly after purchase; disappointed.,2024-11-16
33,74,731,5,Performance exceeded expectations with seamless setup.,2024-06-24
34,114,925,4,Battery life and build quality are top-notch.,2025-01-08
35,83,816,4,Battery life and build quality are top-notch.,2024-12-27
36,75,514,5,Stylish and comfortable for everyday wear.,2024-12-25
37,36,868,5,Performance exceeded expectations with seamless setup.,2024-09-26
38,156,950,5,Battery life and build quality are top-notch.,2024-07-19
39,88,189,5,Battery life and build quality are top-notch.,2024-11-26
40,119,297,5,Great durability during intense workouts.,2024-02-10
41,58,301,4,Battery life and build quality are top-notch.,2023-11-18
42,177,316,4,Battery life and build quality are top-notch.,2023-09-11
43,112,486,5,Battery life and build quality are top-notch.,2024-10-13
44,138,124,4,Performance exceeded expectations with seamless setup.,2024-09-05
45,7,122,5,Adds instant charm to the space.,2024-03-05
46,17,798,4,Performance exceeded expectations with seamless setup.,2023-11-07
47,122,594,4,Performance exceeded expectations with seamless setup.,2024-05-25
48,138,124,5,Battery life and build quality are top-notch.,2024-05-02
49,5,222,4,Performance exceeded expectations with seamless setup.,2024-01-24
50,138,690,4,Battery life and build quality are top-notch.,2023-12-26
51,198,529,5,Performance exceeded expectations with seamless setup.,2024-08-29
52,97,731,4,Performance exceeded expectations with seamless setup.,2025-01-15
53,58,395,3,Overall solid value though a few minor quirks.,2023-11-19
54,148,708,4,Fits perfectly and fabric feels premium.,2024-09-27
55,36,507,5,Performance exceeded expectations with seamless setup.,2024-11-13
56,149,267,5,Performance exceeded expectations with seamless setup.,2023-12-15
57,86,62,5,Great durability during intense workouts.,2025-02-06
58,158,222,3,Overall solid value though a few minor quirks.,2024-01-27
59,88,523,5,Battery life and build quality are top-notch.,2023-12-17
60,79,17,4,Adds instant charm to the space.,2024-12-27
61,58,693,3,Overall solid value though a few minor quirks.,2023-10-06
62,6,70,3,Meets expectations but could use refinements.,2024-10-25
63,38,635,4,Adds instant charm to the space.,2024-10-20
64,11,821,4,Performance exceeded expectations with seamless setup.,2024-11-10
65,123,754,5,Battery life and build quality are top-notch.,2025-01-31
66,97,255,5,Battery life and build quality are top-notch.,2024-07-14
67,52,117,2,Item quality did not match the description.,2024-12-25
68,88,676,5,Performance exceeded expectations with seamless setup.,2025-01-19
69,122,16,4,Performance exceeded expectations with seamless setup.,2024-10-07
70,96,178,4,Performance exceeded expectations with seamless setup.,2023-07-21
71,95,360,5,Lightweight and enhances performance.,2023-09-15
72,58,677,3,Overall solid value though a few minor quirks.,2024-09-25
73,51,801,1,Had issues shortly after purchase; disappointed.,2024-05-08
